,book1,book2,num_conn
1,genesis,exodus,343
2,genesis,leviticus,130
3,genesis,numbers,233
4,genesis,deuteronomy,237
5,genesis,joshua,121
6,genesis,judges,300
7,genesis,ruth,52
8,genesis,1-samuel,258
9,genesis,2-samuel,176
10,genesis,1-kings,208
11,genesis,2-kings,164
12,genesis,1-chronicles,649
13,genesis,2-chronicles,116
14,genesis,ezra,74
15,genesis,nehemiah,123
16,genesis,esther,21
17,genesis,job,437
18,genesis,psalms,677
19,genesis,proverbs,251
20,genesis,ecclesiastes,71
21,genesis,song-of-solomon,43
22,genesis,isaiah,322
23,genesis,jeremiah,233
24,genesis,lamentations,41
25,genesis,ezekiel,274
26,genesis,daniel,85
27,genesis,hosea,59
28,genesis,joel,12
29,genesis,amos,42
30,genesis,obadiah,3
31,genesis,jonah,19
32,genesis,micah,27
33,genesis,nahum,11
34,genesis,habakkuk,13
35,genesis,zephaniah,11
36,genesis,haggai,8
37,genesis,zechariah,66
38,genesis,malachi,8
39,genesis,matthew,314
40,genesis,mark,183
41,genesis,luke,431
42,genesis,john,228
43,genesis,acts,310
44,genesis,romans,84
45,genesis,1-corinthians,85
46,genesis,2-corithians,0
47,genesis,galatians,34
48,genesis,ephesians,32
49,genesis,philippians,14
50,genesis,colossians,20
51,genesis,1-thessalonians,24
52,genesis,2-thessalonians,8
53,genesis,1-timothy,39
54,genesis,2-timothy,16
55,genesis,titus,9
56,genesis,philemon,5
57,genesis,hebrews,85
58,genesis,james,36
59,genesis,1-peter,30
60,genesis,2-peter,18
61,genesis,1-john,18
62,genesis,2-john,4
63,genesis,3-john,4
64,genesis,jude,2
65,genesis,revelation,105
66,exodus,genesis,637
68,exodus,leviticus,533
69,exodus,numbers,945
70,exodus,deuteronomy,463
71,exodus,joshua,186
72,exodus,judges,197
73,exodus,ruth,41
74,exodus,1-samuel,227
75,exodus,2-samuel,99
76,exodus,1-kings,203
77,exodus,2-kings,157
78,exodus,1-chronicles,222
79,exodus,2-chronicles,177
80,exodus,ezra,68
81,exodus,nehemiah,134
82,exodus,esther,39
83,exodus,job,315
84,exodus,psalms,734
85,exodus,proverbs,221
86,exodus,ecclesiastes,45
87,exodus,song-of-solomon,43
88,exodus,isaiah,430
89,exodus,jeremiah,321
90,exodus,lamentations,38
91,exodus,ezekiel,375
92,exodus,daniel,62
93,exodus,hosea,68
94,exodus,joel,23
95,exodus,amos,52
96,exodus,obadiah,3
97,exodus,jonah,15
98,exodus,micah,24
99,exodus,nahum,12
100,exodus,habakkuk,16
101,exodus,zephaniah,6
102,exodus,haggai,7
103,exodus,zechariah,62
104,exodus,malachi,7
105,exodus,matthew,157
106,exodus,mark,127
107,exodus,luke,272
108,exodus,john,129
109,exodus,acts,262
110,exodus,romans,72
111,exodus,1-corinthians,71
112,exodus,2-corithians,0
113,exodus,galatians,36
114,exodus,ephesians,17
115,exodus,philippians,14
116,exodus,colossians,24
117,exodus,1-thessalonians,16
118,exodus,2-thessalonians,4
119,exodus,1-timothy,24
120,exodus,2-timothy,20
121,exodus,titus,3
122,exodus,philemon,2
123,exodus,hebrews,72
124,exodus,james,20
125,exodus,1-peter,11
126,exodus,2-peter,5
127,exodus,1-john,12
128,exodus,2-john,1
129,exodus,3-john,4
130,exodus,jude,6
131,exodus,revelation,68
132,leviticus,genesis,154
133,leviticus,exodus,823
135,leviticus,numbers,1231
136,leviticus,deuteronomy,323
137,leviticus,joshua,60
138,leviticus,judges,69
139,leviticus,ruth,6
140,leviticus,1-samuel,72
141,leviticus,2-samuel,34
142,leviticus,1-kings,56
143,leviticus,2-kings,53
144,leviticus,1-chronicles,96
145,leviticus,2-chronicles,95
146,leviticus,ezra,29
147,leviticus,nehemiah,37
148,leviticus,esther,7
149,leviticus,job,181
150,leviticus,psalms,312
151,leviticus,proverbs,150
152,leviticus,ecclesiastes,33
153,leviticus,song-of-solomon,16
154,leviticus,isaiah,185
155,leviticus,jeremiah,81
156,leviticus,lamentations,23
157,leviticus,ezekiel,340
158,leviticus,daniel,31
159,leviticus,hosea,29
160,leviticus,joel,12
161,leviticus,amos,18
162,leviticus,obadiah,0
163,leviticus,jonah,5
164,leviticus,micah,21
165,leviticus,nahum,7
166,leviticus,habakkuk,7
167,leviticus,zephaniah,11
168,leviticus,haggai,6
169,leviticus,zechariah,11
170,leviticus,malachi,12
171,leviticus,matthew,90
172,leviticus,mark,35
173,leviticus,luke,92
174,leviticus,john,53
175,leviticus,acts,78
176,leviticus,romans,51
177,leviticus,1-corinthians,81
178,leviticus,2-corithians,0
179,leviticus,galatians,10
180,leviticus,ephesians,22
181,leviticus,philippians,9
182,leviticus,colossians,13
183,leviticus,1-thessalonians,5
184,leviticus,2-thessalonians,6
185,leviticus,1-timothy,24
186,leviticus,2-timothy,12
187,leviticus,titus,3
188,leviticus,philemon,2
189,leviticus,hebrews,60
190,leviticus,james,14
191,leviticus,1-peter,8
192,leviticus,2-peter,7
193,leviticus,1-john,11
194,leviticus,2-john,0
195,leviticus,3-john,1
196,leviticus,jude,2
197,leviticus,revelation,30
198,numbers,genesis,412
199,numbers,exodus,974
200,numbers,leviticus,904
202,numbers,deuteronomy,377
203,numbers,joshua,367
204,numbers,judges,208
205,numbers,ruth,22
206,numbers,1-samuel,176
207,numbers,2-samuel,107
208,numbers,1-kings,131
209,numbers,2-kings,83
210,numbers,1-chronicles,458
211,numbers,2-chronicles,152
212,numbers,ezra,107
213,numbers,nehemiah,94
214,numbers,esther,21
215,numbers,job,229
216,numbers,psalms,477
217,numbers,proverbs,156
218,numbers,ecclesiastes,25
219,numbers,song-of-solomon,21
220,numbers,isaiah,268
221,numbers,jeremiah,191
222,numbers,lamentations,32
223,numbers,ezekiel,294
224,numbers,daniel,28
225,numbers,hosea,46
226,numbers,joel,8
227,numbers,amos,16
228,numbers,obadiah,6
229,numbers,jonah,12
230,numbers,micah,29
231,numbers,nahum,14
232,numbers,habakkuk,11
233,numbers,zephaniah,6
234,numbers,haggai,3
235,numbers,zechariah,34
236,numbers,malachi,16
237,numbers,matthew,128
238,numbers,mark,68
239,numbers,luke,141
240,numbers,john,94
241,numbers,acts,142
242,numbers,romans,31
243,numbers,1-corinthians,57
244,numbers,2-corithians,0
245,numbers,galatians,12
246,numbers,ephesians,17
247,numbers,philippians,14
248,numbers,colossians,14
249,numbers,1-thessalonians,8
250,numbers,2-thessalonians,7
251,numbers,1-timothy,14
252,numbers,2-timothy,10
253,numbers,titus,2
254,numbers,philemon,0
255,numbers,hebrews,58
256,numbers,james,12
257,numbers,1-peter,6
258,numbers,2-peter,8
259,numbers,1-john,7
260,numbers,2-john,1
261,numbers,3-john,3
262,numbers,jude,5
263,numbers,revelation,49
264,deuteronomy,genesis,573
265,deuteronomy,exodus,577
266,deuteronomy,leviticus,357
267,deuteronomy,numbers,460
269,deuteronomy,joshua,427
270,deuteronomy,judges,201
271,deuteronomy,ruth,25
272,deuteronomy,1-samuel,193
273,deuteronomy,2-samuel,138
274,deuteronomy,1-kings,207
275,deuteronomy,2-kings,145
276,deuteronomy,1-chronicles,165
277,deuteronomy,2-chronicles,234
278,deuteronomy,ezra,68
279,deuteronomy,nehemiah,157
280,deuteronomy,esther,23
281,deuteronomy,job,420
282,deuteronomy,psalms,1356
283,deuteronomy,proverbs,355
284,deuteronomy,ecclesiastes,122
285,deuteronomy,song-of-solomon,35
286,deuteronomy,isaiah,538
287,deuteronomy,jeremiah,541
288,deuteronomy,lamentations,69
289,deuteronomy,ezekiel,336
290,deuteronomy,daniel,117
291,deuteronomy,hosea,100
292,deuteronomy,joel,46
293,deuteronomy,amos,52
294,deuteronomy,obadiah,8
295,deuteronomy,jonah,25
296,deuteronomy,micah,58
297,deuteronomy,nahum,14
298,deuteronomy,habakkuk,17
299,deuteronomy,zephaniah,31
300,deuteronomy,haggai,14
301,deuteronomy,zechariah,63
302,deuteronomy,malachi,20
303,deuteronomy,matthew,185
304,deuteronomy,mark,98
305,deuteronomy,luke,266
306,deuteronomy,john,122
307,deuteronomy,acts,272
308,deuteronomy,romans,111
309,deuteronomy,1-corinthians,129
310,deuteronomy,2-corithians,0
311,deuteronomy,galatians,28
312,deuteronomy,ephesians,45
313,deuteronomy,philippians,34
314,deuteronomy,colossians,33
315,deuteronomy,1-thessalonians,23
316,deuteronomy,2-thessalonians,22
317,deuteronomy,1-timothy,45
318,deuteronomy,2-timothy,16
319,deuteronomy,titus,24
320,deuteronomy,philemon,6
321,deuteronomy,hebrews,86
322,deuteronomy,james,32
323,deuteronomy,1-peter,47
324,deuteronomy,2-peter,22
325,deuteronomy,1-john,48
326,deuteronomy,2-john,2
327,deuteronomy,3-john,4
328,deuteronomy,jude,4
329,deuteronomy,revelation,95
330,joshua,genesis,522
331,joshua,exodus,333
332,joshua,leviticus,111
333,joshua,numbers,727
334,joshua,deuteronomy,680
336,joshua,judges,396
337,joshua,ruth,26
338,joshua,1-samuel,255
339,joshua,2-samuel,169
340,joshua,1-kings,229
341,joshua,2-kings,166
342,joshua,1-chronicles,503
343,joshua,2-chronicles,236
344,joshua,ezra,108
345,joshua,nehemiah,160
346,joshua,esther,24
347,joshua,job,131
348,joshua,psalms,480
349,joshua,proverbs,107
350,joshua,ecclesiastes,44
351,joshua,song-of-solomon,15
352,joshua,isaiah,268
353,joshua,jeremiah,323
354,joshua,lamentations,40
355,joshua,ezekiel,179
356,joshua,daniel,67
357,joshua,hosea,52
358,joshua,joel,24
359,joshua,amos,21
360,joshua,obadiah,13
361,joshua,jonah,18
362,joshua,micah,28
363,joshua,nahum,10
364,joshua,habakkuk,11
365,joshua,zephaniah,17
366,joshua,haggai,5
367,joshua,zechariah,49
368,joshua,malachi,18
369,joshua,matthew,120
370,joshua,mark,80
371,joshua,luke,182
372,joshua,john,91
373,joshua,acts,203
374,joshua,romans,53
375,joshua,1-corinthians,44
376,joshua,2-corithians,0
377,joshua,galatians,13
378,joshua,ephesians,15
379,joshua,philippians,14
380,joshua,colossians,10
381,joshua,1-thessalonians,5
382,joshua,2-thessalonians,5
383,joshua,1-timothy,9
384,joshua,2-timothy,9
385,joshua,titus,10
386,joshua,philemon,2
387,joshua,hebrews,65
388,joshua,james,9
389,joshua,1-peter,11
390,joshua,2-peter,5
391,joshua,1-john,14
392,joshua,2-john,1
393,joshua,3-john,4
394,joshua,jude,3
395,joshua,revelation,77
396,judges,genesis,567
397,judges,exodus,218
398,judges,leviticus,71
399,judges,numbers,236
400,judges,deuteronomy,244
401,judges,joshua,290
